rxn_ind,file,force_rms_Ha_per_Bohr,is_ts,neg_count,force_ok,ts_force_ok
rxn10032,rxn10032_ts_opt.xyz,0.00045081204377785204,True,1,True,True
rxn10038,rxn10038_ts_opt.xyz,0.0009524589636336887,True,1,True,True
rxn10042,rxn10042_ts_opt.xyz,0.006790067477604106,True,1,False,False
rxn10054,rxn10054_ts_opt.xyz,0.0016967611285088231,True,1,True,True
rxn1024,rxn1024_ts_opt.xyz,0.000644208610730472,True,1,True,True
rxn102,rxn102_ts_opt.xyz,0.0007257886986468406,True,1,True,True
rxn1041,rxn1041_ts_opt.xyz,0.00048791792102407166,True,1,True,True
rxn1050,rxn1050_ts_opt.xyz,0.0004851091117876512,True,1,True,True
rxn1058,rxn1058_ts_opt.xyz,0.001024734624089399,True,1,True,True
rxn1076,rxn1076_ts_opt.xyz,0.00037598864945560226,True,1,True,True
rxn1081,rxn1081_ts_opt.xyz,0.00032894918889341993,True,1,True,True
rxn1204,rxn1204_ts_opt.xyz,0.0003610438863393851,True,1,True,True
rxn1208,rxn1208_ts_opt.xyz,0.0002284265847794628,True,1,True,True
rxn1214,rxn1214_ts_opt.xyz,0.0006779626188995762,True,1,True,True
rxn1216,rxn1216_ts_opt.xyz,0.00048593728658984634,True,1,True,True
rxn1218,rxn1218_ts_opt.xyz,0.0004402357506977936,True,1,True,True
rxn1220,rxn1220_ts_opt.xyz,0.00028137349494004226,True,1,True,True
rxn1238,rxn1238_ts_opt.xyz,0.000513837492466088,True,1,True,True
rxn1239,rxn1239_ts_opt.xyz,0.0013588117251254045,True,1,True,True
rxn123,rxn123_ts_opt.xyz,0.001462839953533114,True,1,True,True
rxn124,rxn124_ts_opt.xyz,0.0008719651884349626,True,1,True,True
rxn1251,rxn1251_ts_opt.xyz,0.0002870959633264954,True,1,True,True
rxn1279,rxn1279_ts_opt.xyz,0.00037350447001304626,True,1,True,True
rxn1286,rxn1286_ts_opt.xyz,0.0015118277988231913,True,1,True,True
rxn1299,rxn1299_ts_opt.xyz,0.000902921165394479,True,1,True,True
rxn1301,rxn1301_ts_opt.xyz,0.0003276731290887336,True,1,True,True
rxn1312,rxn1312_ts_opt.xyz,0.002055921163785379,True,1,True,True
rxn1318,rxn1318_ts_opt.xyz,0.0010294760015848769,True,1,True,True
rxn1319,rxn1319_ts_opt.xyz,0.000973973614591756,True,1,True,True
rxn1341,rxn1341_ts_opt.xyz,0.0005720499339270257,True,1,True,True
rxn1366,rxn1366_ts_opt.xyz,0.0008055670320664678,True,1,True,True
rxn1376,rxn1376_ts_opt.xyz,0.0006053428567745072,True,1,True,True
rxn1379,rxn1379_ts_opt.xyz,0.00039267727249633547,True,1,True,True
rxn1398,rxn1398_ts_opt.xyz,0.0006445735337241176,True,1,True,True
rxn143,rxn143_ts_opt.xyz,0.0004612871990969131,True,1,True,True
rxn1451,rxn1451_ts_opt.xyz,0.00026292004121770377,True,1,True,True
rxn1461,rxn1461_ts_opt.xyz,0.0011378237526693438,True,1,True,True
rxn1466,rxn1466_ts_opt.xyz,0.0004959727440492299,True,1,True,True
rxn1476,rxn1476_ts_opt.xyz,0.0010976646013941198,True,1,True,True
rxn1488,rxn1488_ts_opt.xyz,0.0006672872507503938,True,1,True,True
rxn148,rxn148_ts_opt.xyz,0.00105757204214143,True,1,True,True
rxn1498,rxn1498_ts_opt.xyz,0.0004898979367990242,True,1,True,True
rxn1500,rxn1500_ts_opt.xyz,0.00027481262365477847,True,1,True,True
rxn1509,rxn1509_ts_opt.xyz,0.0005715502322528702,True,1,True,True
rxn1590,rxn1590_ts_opt.xyz,0.000418029423831999,True,1,True,True
rxn1593,rxn1593_ts_opt.xyz,0.0003074494524494034,True,1,True,True
rxn1595,rxn1595_ts_opt.xyz,0.0004358856133011577,True,1,True,True
rxn1596,rxn1596_ts_opt.xyz,0.0007505623410814132,True,1,True,True
rxn160,rxn160_ts_opt.xyz,0.0007185622955757211,True,1,True,True
rxn1639,rxn1639_ts_opt.xyz,0.0005820654804687719,True,1,True,True
rxn1648,rxn1648_ts_opt.xyz,0.0003081370895346392,True,1,True,True
rxn1658,rxn1658_ts_opt.xyz,0.0005248603322726867,True,1,True,True
rxn1661,rxn1661_ts_opt.xyz,0.001365894226448327,True,1,True,True
rxn1676,rxn1676_ts_opt.xyz,0.0009534759196139677,True,1,True,True
rxn170,rxn170_ts_opt.xyz,0.0006091904757978615,True,1,True,True
rxn1713,rxn1713_ts_opt.xyz,0.00044920676086026944,True,1,True,True
rxn1746,rxn1746_ts_opt.xyz,0.0009226326684789005,True,1,True,True
rxn1749,rxn1749_ts_opt.xyz,0.0011636088143410904,True,1,True,True
rxn1758,rxn1758_ts_opt.xyz,0.0005650600990753013,True,1,True,True
rxn1772,rxn1772_ts_opt.xyz,0.0002665204960470244,True,1,True,True
rxn1810,rxn1810_ts_opt.xyz,0.00034054559493005215,True,1,True,True
rxn1813,rxn1813_ts_opt.xyz,0.0003853666334115401,True,1,True,True
rxn1816,rxn1816_ts_opt.xyz,0.0007332751760908534,True,1,True,True
rxn1821,rxn1821_ts_opt.xyz,0.0024361905158477547,True,1,True,True
rxn1827,rxn1827_ts_opt.xyz,0.000690299939941731,True,1,True,True
rxn1836,rxn1836_ts_opt.xyz,0.00042593649658369416,True,1,True,True
rxn1846,rxn1846_ts_opt.xyz,0.0014029613011231495,True,1,True,True
rxn1847,rxn1847_ts_opt.xyz,0.0005387973956548353,True,1,True,True
rxn1875,rxn1875_ts_opt.xyz,0.0004369330066472525,True,1,True,True
rxn1879,rxn1879_ts_opt.xyz,0.0004190525496069695,True,1,True,True
rxn1897,rxn1897_ts_opt.xyz,0.00040301401182819,True,1,True,True
rxn1922,rxn1922_ts_opt.xyz,0.0007636611588557122,True,1,True,True
rxn1929,rxn1929_ts_opt.xyz,0.0015393081944109369,True,1,True,True
rxn1946,rxn1946_ts_opt.xyz,0.0007751488050750224,True,1,True,True
rxn1961,rxn1961_ts_opt.xyz,0.00028769552921144027,True,1,True,True
rxn1976,rxn1976_ts_opt.xyz,0.0008781254501887517,True,1,True,True
rxn1983,rxn1983_ts_opt.xyz,0.0006813882749965052,True,1,True,True
rxn1984,rxn1984_ts_opt.xyz,0.000516944118800031,True,1,True,True
rxn1991,rxn1991_ts_opt.xyz,0.0005443373397928934,True,1,True,True
rxn199,rxn199_ts_opt.xyz,0.0029761447422863413,True,1,True,True
rxn2009,rxn2009_ts_opt.xyz,0.001361899202292265,True,1,True,True
rxn2032,rxn2032_ts_opt.xyz,0.0005359271643109727,True,1,True,True
rxn2034,rxn2034_ts_opt.xyz,0.0010745367642550148,True,1,True,True
rxn2065,rxn2065_ts_opt.xyz,0.0009427666535805483,True,1,True,True
rxn2070,rxn2070_ts_opt.xyz,0.0011490508122576973,True,1,True,True
rxn2073,rxn2073_ts_opt.xyz,0.0008912899846980742,True,1,True,True
rxn2088,rxn2088_ts_opt.xyz,0.0007824580768493261,True,1,True,True
rxn2149,rxn2149_ts_opt.xyz,0.00047919346885098954,True,1,True,True
rxn2176,rxn2176_ts_opt.xyz,0.0002129633262516406,True,1,True,True
rxn2179,rxn2179_ts_opt.xyz,0.00020870753484186175,True,1,True,True
rxn2195,rxn2195_ts_opt.xyz,0.0007735936113769414,True,1,True,True
rxn220,rxn220_ts_opt.xyz,0.00047400527075654777,True,1,True,True
rxn2212,rxn2212_ts_opt.xyz,0.0006218048528008048,True,1,True,True
