rxn_ind,file,force_rms_Ha_per_Bohr,is_ts,neg_count,force_ok,ts_force_ok
rxn10019,rxn10019_ts_opt.xyz,0.0011139869080367818,True,1,True,True
rxn10032,rxn10032_ts_opt.xyz,0.000448576465457116,True,1,True,True
rxn10042,rxn10042_ts_opt.xyz,0.006757986144360149,True,1,False,False
rxn1024,rxn1024_ts_opt.xyz,0.0006123189484279078,True,1,True,True
rxn102,rxn102_ts_opt.xyz,0.000758036080559362,True,1,True,True
rxn1041,rxn1041_ts_opt.xyz,0.0004963230275492525,True,1,True,True
rxn1050,rxn1050_ts_opt.xyz,0.0005468390197412229,True,1,True,True
rxn1058,rxn1058_ts_opt.xyz,0.0010137490907763571,True,1,True,True
rxn1076,rxn1076_ts_opt.xyz,0.00041221677382640635,True,1,True,True
rxn1077,rxn1077_ts_opt.xyz,0.006961430997179774,True,1,False,False
rxn1079,rxn1079_ts_opt.xyz,0.0023882411548765015,True,1,True,True
rxn1081,rxn1081_ts_opt.xyz,0.00031281810144969275,True,1,True,True
rxn1086,rxn1086_ts_opt.xyz,0.0015693200023440953,True,1,True,True
rxn1204,rxn1204_ts_opt.xyz,0.0003623062630863152,True,1,True,True
rxn1208,rxn1208_ts_opt.xyz,0.00024645472656519116,True,1,True,True
rxn1214,rxn1214_ts_opt.xyz,0.0006729226496610728,True,1,True,True
rxn1216,rxn1216_ts_opt.xyz,0.0005019438839448098,True,1,True,True
rxn1218,rxn1218_ts_opt.xyz,0.00046116226997961943,True,1,True,True
rxn1220,rxn1220_ts_opt.xyz,0.0002764658122226845,True,1,True,True
rxn1238,rxn1238_ts_opt.xyz,0.0005418582224844135,True,1,True,True
rxn1239,rxn1239_ts_opt.xyz,0.0013393288644446546,True,1,True,True
rxn124,rxn124_ts_opt.xyz,0.0008918281786398392,True,1,True,True
rxn1279,rxn1279_ts_opt.xyz,0.00037201567613929127,True,1,True,True
rxn1286,rxn1286_ts_opt.xyz,0.0015143399321501487,True,1,True,True
rxn1299,rxn1299_ts_opt.xyz,0.0008974181997779387,True,1,True,True
rxn1312,rxn1312_ts_opt.xyz,0.002036048965831406,True,1,True,True
rxn1318,rxn1318_ts_opt.xyz,0.0010452465023973068,True,1,True,True
rxn1319,rxn1319_ts_opt.xyz,0.0009319286373059194,True,1,True,True
rxn1341,rxn1341_ts_opt.xyz,0.000575816324761352,True,1,True,True
rxn1351,rxn1351_ts_opt.xyz,0.0006166396798346079,True,1,True,True
rxn1379,rxn1379_ts_opt.xyz,0.0012311252400994852,True,1,True,True
rxn1417,rxn1417_ts_opt.xyz,0.0006212278118326818,True,1,True,True
rxn143,rxn143_ts_opt.xyz,0.000705356647075454,True,1,True,True
rxn144,rxn144_ts_opt.xyz,0.0018826386609287502,True,1,True,True
rxn1451,rxn1451_ts_opt.xyz,0.00026219955773199006,True,1,True,True
rxn1461,rxn1461_ts_opt.xyz,0.0011342339476250133,True,1,True,True
rxn1466,rxn1466_ts_opt.xyz,0.0004967209505232176,True,1,True,True
